Kategorie;articleordernumber;Bild;Artikelname;EAN;Größe;Purchaseprice;UVP;VE;Menge;Gesamt;manufacturer
SENSITIVE;PF0118SL500SA;nan;Liquid Marseille Soap 495ml Sensitive Skin;3551780010842;495ml;12,50 €;25,00 €;6;3.0;37,50 €;La compagnie de provence
SENSITIVE;PF0118SL01LSA;nan;Liquid Marseille Soap 1L Refill Sensitive Skin;3551780010859;1000ml;17,00 €;34,00 €;6;nan; 	-     ;La compagnie de provence
SENSITIVE;PF0118SL300SA;nan;Liquid Marseille Soap 300ml Sensitive Skin;3551780010866;300ml;9,00 €;18,00 €;6;3.0;27,00 €;La compagnie de provence
SENSITIVE;PF0118SS085SA;nan;Solid Face Cleanser 85g Sensitive Skin;3551780010873;85g;11,50 €;23,00 €;6;3.0;34,50 €;La compagnie de provence
FACECARE;PF0115CV050AV;nan;Face Cream Sorbet Cream 50ml SEAWEED;3551780007095;50ml;16,00 €;32,00 €;6;nan; 	-     ;La compagnie de provence
FACECARE;PF0105CV050KA;nan;Face Cream Silky Cream 50ml KARITE | SHEA;3551780008351;50ml;16,00 €;32,00 €;6;nan; 	-     ;La compagnie de provence
FACECARE;PF0113HD140SK;nan;Cleansing Oil 140ml;3551780007507;140ml;16,00 €;32,00 €;6;nan; 	-     ;La compagnie de provence
FACECARE;PF0113CV050FI;nan;Light Face Cream 50ml FIG ANTIOXYDANTE;3551780005725;50ml;25,00 €;50,00 €;6;nan; 	-     ;La compagnie de provence
FACECARE;PF0113SE030FI;nan;Face Serum in Oil 30ml FIG ANTIOXYDANTE;3551780005701;30ml;26,00 €;52,00 €;6;nan; 	-     ;La compagnie de provence
FACECARE;PF0113MV075FI;nan;Sleeping Face Mask 75ml FIG ANTIOXYDANTE;3551780005718;75ml;22,50 €;45,00 €;6;nan; 	-     ;La compagnie de provence
LIMITED EDITION;PF0109SL500BS;nan;Liquid Soap Marseille 495ml FESTIVE PINE;3551780009495;495 ml;13,50 €;27,00 €;6;3.0;40,50 €;La compagnie de provence
LIMITED EDITION;PF0109SL500BE;nan;Liquid Soap Marseille 495ml WOODS & SPICES;3551780009501;495 ml;13,50 €;27,00 €;6;3.0;40,50 €;La compagnie de provence
LIMITED EDITION;PF0109BP150BS;nan;Scented Candle 150g FESTIVE PINE;3551780009518;150 gr;24,50 €;49,00 €;6;3.0;73,50 €;La compagnie de provence
GIFT SETS;CO0105MU20221;nan;SHEA ESSENTIALS 2022 (Shower Oil 30ml, Handcream 30ml & Dry Oil 100ml);3551780009600;1 Stk.;29,50 €;59,00 €;4;nan; 	-     ;La compagnie de provence
GIFT SETS;CO0103TN20221;nan;SOFT SKIN KIT - BLACK TEA 2022(Liquid Soap 495ml & Handcream 300ml);3551780009426;1 Stk.;26,50 €;53,00 €;4;nan; 	-     ;La compagnie de provence
SEAWEED;PF0115CC200AV;nan;Ultra-Hydrating Body Cream 200ml SEAWEED;3551780007101;200ml;21,00 €;42,00 €;6;3.0;63,00 €;La compagnie de provence
SEAWEED;PF0115CM075AV;nan;Ultra-Hydrating Hand Cream 75ml SEAWEED;3551780007132;75ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
SEAWEED;PF0115CM030AV;nan;Ultra-Hydrating Hand Cream 30ml SEAWEED;3551780007118;30ml;4,75 €;9,50 €;12;6.0;28,50 €;La compagnie de provence
SEAWEED;PF0115SL300AV;nan;Liquid Soap Marseille 300ml SEAWEED;3551780009563;300 ml;11,00 €;22,00 €;6;3.0;33,00 €;La compagnie de provence
SEAWEED;PF0115SL500AV;nan;Liquid Soap Marseille 495ml SEAWEED;3551780007088;495ml;13,50 €;27,00 €;6;3.0;40,50 €;La compagnie de provence
