mainDetailNumber;name;mainDetailEAN;mainDetailweight;Purchaseprice;pseudoprice;purchaseunitdetail;Menge;description_long
PF0118SL500SA;Liquid Marseille Soap 495ml Sensitive Skin;3551780010842;495ml;12,50 €;25,00 €;6;3.0;Die La Compagnie de Provence Liquid Marseille Soap Sensitve Skin ist eine, in einem Kessel nach traditionellen Methoden hergestellte Seife und ist mit einem exklusiven Lipid-Trio aus den hochwertigsten botanischen Ölen aus Frankreich angereichert. Sie ist für die Anwendung in der Familie konzipiert und reinigt sanft Hände und Körper, während sie den Feuchtigkeitsgehalt der Haut erhält. Dermatologisch an einem Panel empfindlicher Haut getestet 99% Inhaltsstoffe natürlichen Ursprungs Hergestellt in Frankreich Parfümfrei Anwendung: Jetzt ist es Zeit, sich einzuschäumen! Drücken Sie ein- oder zweimal auf die Pumpe, um die Seife auf Ihre nassen Hände aufzutragen, schäumen Sie sie sanft auf und spülen Sie sie dann mit klarem Wasser ab. Geeignet für den häufigen Gebrauch. Kann für den Körper verwendet werden. Nur zur äußeren Anwendung. Vermeiden Sie den Kontakt mit den Augen. Sollte das Produkt mit den Augen in Berührung kommen, gründlich mit Wasser ausspülen.
PF0118SL01LSA;Liquid Marseille Soap 1L Refill Sensitive Skin;3551780010859;1000ml;17,00 €;34,00 €;6;nan;Diese in einem Kessel nach traditionellen Methoden hergestellte Seife ist mit einem exklusiven Lipid-Trio aus den hochwertigsten botanischen Ölen aus Frankreich angereichert. Sie ist für die Anwendung in der Familie konzipiert und reinigt sanft Hände und Körper, während sie den Feuchtigkeitsgehalt der Haut erhält. Dermatologisch an einem Panel empfindlicher Haut getestet. 99% Inhaltsstoffe natürlichen Ursprungs. Hergestellt in Frankreich.
PF0118SL300SA;Liquid Marseille Soap 300ml Sensitive Skin;3551780010866;300ml;9,00 €;18,00 €;6;3.0;Die La Compagnie de Provence Liquid Marseille Soap Sensitve Skin ist eine, in einem Kessel nach traditionellen Methoden hergestellte Seife und ist mit einem exklusiven Lipid-Trio aus den hochwertigsten botanischen Ölen aus Frankreich angereichert. Sie ist für die Anwendung in der Familie konzipiert und reinigt sanft Hände und Körper, während sie den Feuchtigkeitsgehalt der Haut erhält. Dermatologisch an einem Panel empfindlicher Haut getestet 99% Inhaltsstoffe natürlichen Ursprungs Hergestellt in Frankreich Parfümfrei Anwendung: Jetzt ist es Zeit, sich einzuschäumen! Drücken Sie ein- oder zweimal auf die Pumpe, um die Seife auf Ihre nassen Hände aufzutragen, schäumen Sie sie sanft auf und spülen Sie sie dann mit klarem Wasser ab. Geeignet für den häufigen Gebrauch. Kann für den Körper verwendet werden. Nur zur äußeren Anwendung. Vermeiden Sie den Kontakt mit den Augen. Sollte das Produkt mit den Augen in Berührung kommen, gründlich mit Wasser ausspülen.
PF0118SS085SA;Solid Face Cleanser 85g Sensitive Skin;3551780010873;85g;11,50 €;23,00 €;6;3.0;Dieser Gesichtsreiniger wurde ohne Seife und aus 100 % natürlichen Inhaltsstoffen formuliert und beseitigt Unreinheiten, während er gleichzeitig die Feuchtigkeit bewahrt. Speziell für empfindliche Haut entwickelt, kombiniert es ausgleichende natürliche Präbiotika mit einem Komplex aus beruhigenden pflanzlichen Ölen. Das Ergebnis ist eine perfekt gereinigte und angenehme Haut. Dermatologisch getestet an einer Gruppe empfindlicher Haut.
PF0115CV050AV;Face Cream Sorbet Cream 50ml SEAWEED;3551780007095;50ml;16,00 €;32,00 €;6;nan;"Seidige Gesichtscreme spendet bis zu 48 Stunden lang Feuchtigkeit und schützt die Haut vor Verunreinigungen Angereichert mit ""Filz-Algen"" aus dem Mittelmeerraum und botanischen Ölen, spendet die seidige Gesichtscreme bis zu 48 Stunden lang Feuchtigkeit und schützt die Haut vor Verunreinigungen. Die mineralstoffreiche Filzalge hilft, die Haut mit Feuchtigkeit zu versorgen und ihre Barrierefunktion wiederherzustellen. Ein kostbares Duo botanischer Öle aus der Provence wie dem PDO-Olivenöl, das die Haut nährt und sie vor Umwelteinflüssen schützt. Süßes Mandelöl und pflanzliches Squalan wirken beruhigend. Die Gel-Creme-Textur hat einen lang anhaltenden Erfrischungseffekt, während der frische, zarte Duft die Sinne verwöhnt. Ihre Haut fühlt sich an, als könne sie wieder atmen, als hätten Sie gerade ein belebendes Bad im Meer genossen. Die schnell einziehende Formel hinterlässt ein angenehmes, samtig-weiches Hautgefühl, ohne zu fetten. Die Haut wird bis zu 48 Stunden lang mit Feuchtigkeit versorgt, sieht strahlend aus und fühlt sich geschützt an. Ideal für alle Haut, die Feuchtigkeit und Komfort braucht. Dermatologisch getestet."
PF0105CV050KA;Face Cream Silky Cream 50ml KARITE | SHEA;3551780008351;50ml;16,00 €;32,00 €;6;nan;Made in Frankreich. Zone: gesicht. Trockene haut, sensible haut. Creme. Funktion: feuchtigkeitsspendend, beruhigend, nahrhaft, schutz. Neu mit Designerverpackung. Nützliche informationen: dermatologisch und klinisch getestet, vermeiden sie den kontakt mit den augen
PF0113HD140SK;Cleansing Oil 140ml;3551780007507;140ml;16,00 €;32,00 €;6;nan;Dieses feuchtigkeitsspendende Reinigungsöl besteht zu 99 % aus natürlichen Inhaltsstoffen und entfernt sanft Make-up und Unreinheiten. Es wurde für die Pflege von Gesicht, Augen und Lippen entwickelt und verwandelt sich bei Kontakt mit Wasser in eine milchige Lotion. Es löst Unreinheiten und lässt sich leicht abspülen, ohne der Haut ihre natürliche Feuchtigkeit zu entziehen. Dank der Kraft der pflanzlichen Bio-Öle (54% der Formel) ermöglicht dieses Reinigungsöl eine schnelle, wirksame und wattefreie Make-up-Entfernung. Sonnenblumenkernöl, reich an Omega-6-Fettsäuren, spendet Feuchtigkeit und verschönert die Haut. Jojojobaöl mit ausgleichenden Eigenschaften bildet eine Schutzbarriere. Rizinusöl hilft schließlich, die Haut zu beruhigen und zu pflegen. Sein Duft mit beruhigenden Noten von Mandel und Jasmin macht Ihre tägliche Schönheitsroutine zu einem wahren Schönheitsritual. Ihre Haut ist sauber, frei von Make-up, hydratisiert und beruhigt.
PF0113CV050FI;Light Face Cream 50ml FIG ANTIOXYDANTE;3551780005725;50ml;25,00 €;50,00 €;6;nan;Die Light Face Cream von La Compagnie de Provence ist eine kostbare Hautpflege, die der Haut Frische und Vitalität verleiht. Ihre Formel ist mit Olivenöl und Süßmandelöl sowie Feige aus der Provence angereichert. Sie durchflutet die Haut mit wohltuender Feuchtigkeit und wirkt somit Trockenheits- und Spannungsgefühlen entgegen. Gleichzeitig glättet sie die Haut und bringt sie zum Strahlen. Die Feuchtigkeitspflege bietet der Haut optimalen Schutz vor schädlichen Umwelteinflüssen. Sie hinterlässt die Haut geschmeidig weich und jugendlich zart.Leichte Hautpflege für glatte, strahlend schöne Haut Die Light Face Cream von La Compagnie de Provence hydratisiert die Haut bis in die tiefen Schichten und bewahrt sie vor Feuchtigkeitsverlust. Dank ihrer antioxidativen Eigenschaften schützt sie die Haut vor freien Radikalen und schädlichen Umwelteinflüssen. Sie glättet die Haut und schenkt ihr ein jugendlich strahlendes Aussehen. Ihre Formel eignet sich für alle Hauttypen, auch für trockene Haut. Tragen Sie die Feuchtigkeitspflege morgens und abends auf das Gesicht auf und massieren sie mit kleinen, kreisenden Bewegungen in die Haut ein. Erleben Sie glatte, seidig weiche Haut mit jugendlicher Leuchtkraft!
PF0113SE030FI;Face Serum in Oil 30ml FIG ANTIOXYDANTE;3551780005701;30ml;26,00 €;52,00 €;6;nan;Ein Produkt, das die Leistung eines Serums mit dem Komfort botanischer Öle verbindet. Diese natürliche Formel mit der antioxidativ wirkenden Feige kombiniert die besten pflanzlichen Öle mit der Feige aus der Provence, um die Hautfeuchtigkeit zu verbessern und die ersten Anzeichen der Hautalterung zu bekämpfen. Ergebnisse: Falten und Anzeichen von Müdigkeit werden sichtbar reduziert. Ihre Haut sieht glatter und strahlender aus. Sie fühlt sich perfekt hydriert an und ist bereit für Ihre Tages- oder Nachtcreme. Bewährte Wirksamkeit : Antioxidative Wirkung, um die Haut jung aussehen und sich jung fühlen zu lassen. +23% Feuchtigkeit-24,9 % bei der Anzahl der Falten -35,2% bei der Dauer der Falteninstrumental measurement on 15/20 volunteers after applying the product twice a day for 28 days.
PF0113MV075FI;Sleeping Face Mask 75ml FIG ANTIOXYDANTE;3551780005718;75ml;22,50 €;45,00 €;6;nan;Die Night Face Mask von La Compagnie de Provence ist eine bahnbrechende Hautpflege, die über Nacht Anzeichen der Hautalterung bekämpft. Ihre Formel basiert auf kostbaren pflanzlichen Ölen aus der Provence, wie Süßmandel- und Olivenöl. Diese durchfluten die Haut lang anhaltend mit Feuchtigkeit und optimieren somit ihren Feuchtigkeitshaushalt, während Sie schlafen. Außerdem enthält die Feuchtigkeitspflege Feige aus der Provence, die Anzeichen von Müdigkeit und das Erscheinungsbild von Mimikfalten sichtbar mildert. Am Morgen fühlt sich die Haut prall und weich an. Sie sieht wunderbar erholt und rosig frisch aus. Reichhaltige Hautpflege für ausgeruhte, jugendlich frische Haut Die Night Face Mask von La Compagnie de Provence versorgt die Haut über Nacht intensiv mit Feuchtigkeit. Anzeichen der Hautalterung wie Müdigkeitserscheinungen und Mimikfalten minimiert sie sichtbar. Sie pflegt die Haut geschmeidig weich und lässt sie am Morgen ausgeruht und frisch aussehen. Ihre Formel ist frei von Farbstoffen, tierischen Fetten und synthetischen Tensiden. Tragen Sie zweimal pro Woche eine dicke Schicht der Feuchtigkeitspflege auf Ihr Gesicht auf. Nach 15 Minuten Einwirkzeit spülen Sie die Textur ab. Sie können die Maske auch in dünner Schicht auftragen und über Nacht einwirken lassen. Genießen Sie pralle, glatte, strahlend schöne Haut!
