Artikelname;EAN;SKU;Brand;MwSt;EK netto;empfl. VK brutto;Inhalt;Beschreibung;Anwendung;INCI
AGELESS total facial cleanser;819984011236;A-200;IMAGE Skincare;19;18,50 €;37,00 €;177 ml;"Ein universeller Gesichtsreiniger für den täglichen Gebrauch zur Exfoliation und zum sanften Entfernen von Make-up
mit belebender Wirkung für eine maximale Hautbalance.
Die Kunden genießen eine gereinigte, glattere Haut mit erfrischendem Menthol und der Zellaustausch wird angeregt.";"Morgens und abends eine geringe Menge in die befeuchteten Handflächen geben und 1 Minute in die Haut einmassieren.
Mit kaltem Wasser entfernen. Während der Schwangerschaft/Stillzeit empfehlen wir die Rücksprache mit einem Arzt.
Nach der Anwendung starke Sonnenexposition meiden. Ausreichend Sonnenschutz verwenden.";"Aqua/Water/Eau, Glycolic Acid, Ammonium Laureth Sulfate, Ammonium Lauryl Sulfate, Ammonium Hydroxide, Glycerin, Cocamidopropyl Hydroxysultaine, Phenoxyethanol,
Glycol Distearate, Laureth-10, Caprylyl Glycol, Ammonium Sulfate, Ammonium Chloride, Menthol, Aloe Barbadensis Leaf Juice, Ethylhexylglycerin, Hexylene Glycol, Hydroxypropyl
Methylcellulose, Sodium Benzoate, Sodium Chloride, Glyoxal, Rosmarinus Officinalis (Rosemary) Leaf Extract."
AGELESS total anti-aging serum;819984011069;A-201;IMAGE Skincare;19;41,00 €;82,00 €;50 ml;"Eine einzigartige kosmezeutische Mischung aus Alpha-Hydroxy-Säuren in Verbindung mit Apfelstammzelltechnologie. Schützt
Hautzellen vor oxidativem Stress und bekämpft Alterungseffekte der Haut. Eine Mischung aus potenten Antioxidantien spendet
Feuchtigkeit für strahlende Haut. Mit Hilfe der Vectorize Technology™ werden über einen Zeitraum von bis zu 48 Stunden.
Wirkstoffe in die verschiedenen Hautschichten eingebracht um eine langanhaltende, optimale Wirkung zu erzielen.";"Morgens und abends auf das gereinigte Gesicht auftragen.
Während der Schwangerschaft/Stillzeit empfehlen wir die Rücksprache mit einem Arzt.
Nach der Anwendung starke Sonnenexposition meiden. Ausreichend Sonnenschutz verwenden.";"Aqua/Water/Eau, Glycerin, Polysorbate 20, Lactic Acid, Glycolic Acid, Aloe Barbadensis Leaf Extract, Propylene Glycol, Phenoxyethanol, Caprylic/Capric Triglyceride,
Hydroxyethylcellulose, Citrus Aurantium Dulcis (Orange) Peel Oil, Limonene, Pullulan, Sodium Hydroxide, Ethylhexylglycerin, Simmondsia Chinensis (Jojoba) Seed Oil,
Artemisia Vulgaris Extract, Laminaria Digitata Extract, Malus Domestica Fruit Cell Culture Extract, Butylene Glycol, Malic Acid, Nannochloropsis Oculata Extract,
Vanilla Planifolia Fruit Extract, Sodium Hyaluronate, Yeast Polysaccharides, Hydroxypropyl Cyclodextrin, Potassium Sorbate, Sodium Benzoate, Tetrahexyldecyl Ascorbate,
Xanthan Gum, Cucumis Sativus (Cucumber) Fruit Extract, Disodium Phosphate, Polysorbate 60, Anthemis Nobilis Flower Extract, Arnica Montana Flower Extract,
Vitis Vinifera (Grape) Seed Extract, Linalool, Lecithin, Sodium Phosphate, Palmitoyl Tripeptide-38."
AGELESS total resurfacing masque;819984011113;A-303;IMAGE Skincare;19;22,00 €;44,00 €;57 g;"Multiexfolierende Maske mit Alpha- und Beta-Hydroxy-Säuren zum Resurfacing, Abtragung abgestorbener Hautzellen und
Freilegung eines jugendlicher wirkenden, strahlend schönen Hautbildes.
Eine Mikropeeling-Maske mit Alpha-Hydroxy-Säuren zum Resurfacing und zur Verjüngung der Haut. Die Haut wird sichtbar
geschmeidig und der Hautton wird ausgeglichen.
Kann als Heimpeeling mit jedem IMAGE-Reiniger gemischt werden.";"1 – 3 Mal pro Woche eine dünne Schicht auf die gereinigte Haut auftragen. 5 – 30 Minuten einwirken lassen und gründlich
mit kaltem Wasser entfernen. Während der Schwangerschaft/Stillzeit empfehlen wir die Rücksprache mit einem Arzt.
Nach der Anwendung starke Sonnenexposition meiden. Ausreichend Sonnenschutz verwenden.";"Aqua/Water/Eau, Alumina, Jojoba Esters, Glycerin, Dimethicone, Glycolic Acid, Glyceryl Stearate, Peg-100 Stearate, Palmitic Acid, Stearic Acid, Cetyl Alcohol, Titanium Dioxide
(Ci 77891), Caprylic/Capric Triglyceride, Phenoxyethanol, Butylene Glycol, Eucalyptus Globulus Leaf Oil, Aloe Barbadensis Leaf Extract, Sodium Hydroxide, Hamamelis Virginiana (Witch
Hazel) Water, Magnesium Aluminum Silicate, Zea Mays (Corn) Starch, Lactic Acid, Decyl Glucoside, Salicylic Acid, Xanthan Gum, Carica Papaya (Papaya) Fruit Extract, Ethylhexylglycerin,
Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Alcohol, Allantoin, Berberis Vulgaris Fruit Extract, Limonene, Sodium Phytate, Ascorbic Acid, Cedrus Atlantica (Cedarwood)
Bark Oil, Arnica Montana Flower Extract, Hypericum Perforatum Flower/Leaf/Stem Extract, Yeast Extract, Calendula Officinalis Flower Extract, Cucumis Sativus (Cucumber) Fruit
Extract, Hedera Helix (Ivy) Leaf/Stem Extract."
AGELESS total pure hyaluronic6 filler;819984013902;A-209;IMAGE Skincare;19;42,00 €;84,00 €;30 ml;"Konzentrierter Filler mit 6 Formen von Hyaluronsäure niedrigen und hohen Molekulargewichts zur schnelleren Glättung der
Anzeichen von Falten. Spendet unmittelbar und sichtbar intensiv Feuchtigkeit und füllt feine Linien ohne Injektion!";"Morgens und abends auf die gereinigte Haut auftragen. Zur zusätzlichen Feuchtigkeitszufuhr, Anwendung wiederholen oder
mit einem anderen IMAGE-Produkt mischen.";"Aqua/Water/Eau, Polysorbate 20, Sodium Hyaluronate, Citrus Aurantium Dulcis (Orange) Peel Oil, Dimethylsilanol Hyaluronate, Ethylhexylglycerin, Hyaluronic Acid, Hydrolyzed
Hyaluronic Acid, Leuconostoc/Radish Root Ferment Filtrate, Limonene, Panthenol, Pentylene Glycol, Phenoxyethanol, Prunus Armeniaca (Apricot) Kernel Oil, Sodium Hyaluronate
Crosspolymer, Sodium Hydroxide, Tocopheryl Acetate."
AGELESS total microderm exfoliator;819984017061;A-211;IMAGE Skincare;19;24,50 €;49,00 €;42 g;"Ein 3-in-1 Peeling für zu Hause, das von der professionellen Mikrodermabrasion inspiriert wurde. Es gleicht den Hautton aus
und hinterlässt die Textur der Haut sanft und gepeelt, sodass die nachfolgend aufgetragenen Wirkstoffe optimal in die Haut
eindringen können.";"Auf die gereinigte Haut auftragen und mit angefeuchteten Händen bis zu eine Minute einmassieren.
Mit lauwarmem Wasser abnehmen. Nicht länger als 3 Minuten auf der Haut belassen.
Ein erfrischendes Mentholderivat bietet einen sofortigen Kühlungseffekt auf der Haut.";"Aqua/Water/Eau, Bambusa Arundinacea Stem Extract, Glycerin, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Gluconolactone, Citric Acid, Xylitylglucoside, Menthyl Lactate,
Actinidia Chinensis, (Kiwi) Fruit Extract, Ananas Sativus (Pineapple) Fruit Extract, Averrhoa Carambola Fruit Extract, Garcinia Mangostana Fruit Extract, Litchi Chinensis Fruit Extract,
Passiflora Incarnata Fruit Extract, Psidium Guajava Fruit Extract, Punica Granatum Extract, Zizyphus Jujuba Fruit Extract, Anhydroxylitol, Malic Acid, Mandelic Acid, Niacinamide,
Sodium Benzoate, Xylitol, Arnica Montana Flower Extract, Mentha Viridis Leaf Oil, Euconostoc/Radish Root Ferment Filtrate, Quartz, Limonene, Calcium Gluconate, Sodium Hydroxide."
the MAX™ facial cleanser;819984010109;M-200;IMAGE Skincare;19;18,50 €;37,00 €;118 ml;"Ein schonender säure-und sulfatfreier Reiniger für den täglichen Gebrauch zum Ausgleich und zur Optimierung
des pH-Werts der Haut. Pflanzliche Stammzellen und Pflanzenextrakte versorgen die Haut mit Nährstoffen und
schützen sie vor Umweltschadstoffen.";"Morgens und abends eine geringe Menge auf das angefeuchtete Gesicht auftragen und ca. 1 Minute einmassieren.
Mit warmem Wasser entfernen.";"Water/Aqua/Eau, Sodium Lauroyl Methyl Isethionate, Glycol Distearate, Peg-7 Glyceryl Cocoate, Cocamidopropyl Betaine, Trisodium Ethylenediamine Disuccinate, Acrylates Copolymer,
Phenoxyethanol, Citrus Grandis (Grapefruit) Peel Oil, Limonene, Glycerin, Polyquaternium-10, Sodium Chloride, Cetyl Alcohol, Sodium Benzoate, Sodium Hydroxide, Ethylhexylglycerin,
Hydrolyzed Ceratonia Siliqua (Carob) Seed Extract, Saccharide Isomerate, Glyceryl Polymethacrylate, Hydrolyzed Rice Protein, Avena Sativa (Oat) Kernel Extract, Butylene Glycol,
Propylene Glycol, Vitis Vinifera (Grape) Seed Extract, Leontopodium Alpinum (Edelweiss) Extract, Malus Domestica Fruit Cell Culture Extract, Steareth-20, Hesperidin Methyl Chalcone,
Sodium Lactate, Camellia Sinensis (Green Tea) Leaf Extract, Citric Acid, Leucojum Aestivum Bulb Extract, Sodium Citrate, Chlorhexidine Digluconate, Potassium Sorbate, Carbomer,
Dipeptide Diaminobutyroyl Benzylamide Diacetate, Glycine Soja (Soybean) Protein, Palmitoyl Tripeptide-5, Superoxide Dismutase, Xanthan Gum, Benzyl Alcohol, Caprylyl Glycol,
Polysorbate 20, Lecithin, Dipeptide-2, Sodium Dextran Sulfate, Palmitoyl Tetrapeptide-7, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1"
the MAX™ serum;819984010116;M-201;IMAGE Skincare;19;61,00 €;122,00 €;30 ml;"Dieses neuartige Serum – für Tag und Nacht – verjüngt Ihre Haut auf ganz neue Weise. Die Stammzellentechnologie unterstützt
mit einem ausgewählten Komplex natürliche Abwehrmechanismen und fördert ein gesund aussehendes Hautbild.
Durch die Vectorize Technology™ werden über einen Zeitraum von 48 Stunden Wirkstoffe in die verschiedenen Hautschichten
eingebracht, um eine langanhaltende, optimale Wirkung zu erzielen.";Für optimale Resultate morgens und abends eine geringe Menge auf die gereinigte Haut auftragen und einmassieren.;"Water/Aqua/Eau, Carbomer, Glycerin, Polysorbate 20, Sucrose Palmitate, Glyceryl Linoleate, Tocopheryl Acetate, Phenoxyethanol, Citrus Grandis (Grapefruit) Peel Oil, Limonene, Glyceryl
Polymethacrylate, Hydroxyethylcellulose, Potassium Sorbate, Butylene Glycol, Pullulan, Malus Domestica Fruit Cell Culture Extract, Tetrahexyldecyl Ascorbate, Isomalt, Propylene
Glycol, Centella Asiatica Extract, Macrocystis Pyrifera Extract, Disodium Edta, Hydrolyzed Rice Protein, Imperata Cylindrica Root Extract, Pvp, Echinacea Purpurea Extract, Citric Acid,
Xanthan Gum, Leontopodium Alpinum Meristem Cell Culture, Nannochloropsis Oculata Extract, Sodium Hyaluronate, Hydrolyzed Vegetable Protein, Sodium Benzoate, Sodium Lactate,
Lecithin, Glycine Soja (Soybean) Protein, Sodium Hydroxide, Superoxide Dismutase, Peg-8, Ethylhexylglycerin, Camellia Sinensis (Green Tea) Leaf Extract, Hydroxypropyl Cyclodextrin,
Palmitoyl Tripeptide-38, Spiraea Ulmaria (Meadowsweet) Flower Extract, Leuconostoc/Radish Root Ferment Filtrate, Phaseolus Radiatus Meristem Cell Culture Extract,
Caprylyl Glycol, Acetyl Hexapeptide-8, Arabidopsis Thaliana Extract, Argania Spinosa Callus Culture Extract, Plankton Extract, Citral, Sodium Dextran Sulfate,
Acetyl Octapeptide-3, Palmitoyl Tripeptide-1, Biotin."
the MAX™ crème;819984010123;M-202;IMAGE Skincare;19;61,00 €;122,00 €;48 g;"Diese neuartige Nachtcrème versorgt Ihre Haut mit unübertroffenen antioxidativen Eigenschaften.
Stammzellen aus Alpenkräuterextrakten fördern die natürlichen Abwehrmechanismen der Haut. Beinhaltet eine
maximale Konzentration an Peptiden, um durch Mimik hervorgerufene Faltenbildung zu glätten und eine
Neubildung von Kollagen zu fördern.
Maximale Leistung wird durch eine hohe Konzentration pflanzlicher Inhaltsstoffe und den Verzicht auf chemische
Konservierungs- und Füllstoffe erzielt. Regeneriert die Haut und fördert deren natürliche Abwehrmechanismen.
Durch die Vectorize TechnologyTM werden über einen Zeitraum von 48 Stunden Wirkstoffe in die verschiedenen
Hautschichten eingebracht, um eine langanhaltende, optimale Wirkung zu erzielen.";;"Water/Aqua/Eau, Glycerin, Caprylic/Capric Triglyceride, Dimethicone, Sucrose Palmitate, Cetyl Alcohol, Tocopheryl Acetate, Glyceryl Linoleate, Cetearyl Alcohol, Glyceryl Stearate,
Peg-100 Stearate, Phenoxyethanol, Stearic Acid, Citrus Grandis (Grapefruit) Peel Oil, Limonene, Butylene Glycol, Glyceryl Polymethacrylate, Pullulan, Sclerotium Gum, Caprylyl Glycol,
Ceteth-10 Phosphate, Dicetyl Phosphate, Malus Domestica Fruit Cell Culture Extract, Tetrahexyldecyl Ascorbate, Isomalt, Ethylhexylglycerin, Hexylene Glycol, Hydrolyzed Rice Protein,
Propylene Glycol, Centella Asiatica Extract, Glycine Soja (Soybean) Sterols, Linoleic Acid, Nannochloropsis Oculata Extract, Phospholipids, Ppg-12/Smdi Copolymer, Imperata Cylindrica
Root Extract, Macrocystis Pyrifera Extract, Potassium Sorbate, Echinacea Purpurea Extract, Citric Acid, Xanthan Gum, Sodium Benzoate, Leontopodium Alpinum Meristem Cell Culture,
Pvp, Sodium Lactate, Carbomer, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Glycine Soja (Soybean) Protein, Hydrolyzed Vegetable Protein, Superoxide Dismutase, Lecithin,
Polysorbate 20, Peg-8, Hydroxypropyl Cyclodextrin, Palmitoyl Tripeptide-38, Phaseolus Radiatus Meristem Cell Culture Extract, Polyacrylamide, Leuconostoc/Radish Root Ferment
Filtrate, C13-14 Isoparaffin, Arabidopsis Thaliana Extract, Argania Spinosa (Argan) Callus Culture Extract, Plankton Extract, Sodium Dextran Sulfate, Spiraea Ulmaria (Meadowsweet)
Flower Extract, Vitis Vinifera (Grape) Seed Extract, Citral, Acetyl Hexapeptide-8, Acetyl Octapeptide-3, Laureth-7, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Biotin."
the MAX™ eye crème;819984010130;M-203;IMAGE Skincare;19;34,50 €;69,00 €;15 ml;"Vorteilhafte Augencrème zur Reduktion der sichtbaren Anzeichen feiner Linien, Falten, dunklen Augenringen und Schwellungen.
Die feuchtigkeitsspendende, verjüngende Rezeptur beinhaltet gezielt formulierte Peptide und pflanzliche Zellextrakte zur Glättung
feiner Linien und Förderung eines ebenmäßigeren Hauttons für ausgeruhte Augen.";"Morgens und abends eine erbsengroße Menge auf den gereinigten Augenbereich auftragen und einmassieren.
Anwendung, wenn nötig, wiederholen.";"AQUA/WATER/EAU, GLYCERIN, CAPRYLIC/CAPRIC TRIGLYCERIDE, CYCLOPENTASILOXANE, SUCROSE PALMITATE, DIMETHICONE, CETEARYL OLIVATE, HYDROGENATED OLIVE OIL,
SORBITAN OLIVATE, GLYCERYL LINOLEATE, TOCOPHERYL ACETATE, OLEA EUROPAEA (OLIVE) FRUIT OIL, PHENOXYETHANOL, ISOMALT, CITRUS GRANDIS (GRAPEFRUIT) PEEL OIL,
LIMONENE, ALBIZIA JULIBRISSIN BARK EXTRACT, ALOE BARBADENSIS LEAF EXTRACT, BISABOLOL, BRASSICA CAMPESTRIS/ALEURITES FORDI OIL COPOLYMER, BUTYROSPERMUM
PARKII (SHEA) BUTTER, PULLULAN, OLEAEUROPAEA (OLIVE) OIL UNSAPONIFIABLES, STEARETH-20, ALLANTOIN, SODIUM POLYSTYRENE SULFONATE, MALUS DOMESTICA
FRUIT CELL CULTURE EXTRACT, TETRAHEXYLDECYL ASCORBATE, POLYACRYLAMIDE, CARBOMER, SODIUM BENZOATE, C13-14 ISOPARAFFIN, HESPERIDIN METHYL CHALCONE,
ETHYLHEXYLGLYCERIN, SACCHAROMYCES CEREVISIAE EXTRACT, GLYCINE SOJA (SOYBEAN) STEROLS, LINOLEIC ACID, NANNOCHLOROPSIS OCULATA EXTRACT, PHOSPHOLIPIDS,
POTASSIUM SORBATE, CITRIC ACID, SODIUM HYALURONATE, XANTHAN GUM, FARNESOL, LEONTOPODIUM ALPINUM MERISTEM CELL CULTURE, SODIUM HYDROXIDE, LAURETH-7,
SODIUM CITRATE, CHLORHEXIDINE DIGLUCONATE, LECITHIN, ECHINACEA ANGUSTIFOLIA EXTRACT, NuHYDROXYSUCCINIMIDE, DIPEPTIDE DIAMINOBUTYROYL BENZYLAMIDE
DIACETATE, HYDROXYPROPYL CYCLODEXTRIN, PALMITOYL TRIPEPTIDE-38, VITIS VINIFERA (GRAPE) FRUIT CELL EXTRACT, CAPRYLYL GLYCOL, CAMELLIA SINENSIS (GREEN
TEA) LEAF EXTRACT, DIPEPTIDE-2, ARGANIA SPINOSA (ARGAN) CALLUS CULTURE EXTRACT, CITRAL, DARUTOSIDE, PALMITOYL TETRAPEPTIDE-7, ACETYL HEXAPEPTIDE-8,
TOCOPHEROL, CHRYSIN, PALMITOYL TRIPEPTIDE-1, ACETYL OCTAPEPTIDEu3, BIOTIN."
the MAX™ masque;819984012127;M-204;IMAGE Skincare;19;25,00 €;50,00 €;59 ml;"Die Stammzellen Maske enthält fortschrittlichste aktive Inhaltsstoffe in MAXimaler Konzentration und ist formuliert zur
Verjüngung und Revitalisierung von alternder und fahler Haut. Die Zusammensetzung aus verschiedenen Pflanzenstammzellen,
kraftvollen Peptiden und natürlichen Pflanzenextrakten zielt auf die Rückgewinnung und Erhaltung der jugendlich leuchtenden
Haut. Durch die Vectorize TechnologyTM werden über einen Zeitraum von 48 Stunden Wirkstoffe in die verschiedenen
Hautschichten eingebracht, um eine langanhaltende, optimale Wirkung zu erzielen.";"3-4 Mal pro Woche eine dünne Schicht auf das gereinigte Gesicht, den Hals- und Dekolletébereich auftragen und
5 - 30 Minuten einwirken lassen. Mit warmem Wasser entfernen.";"Water/Aqua/Eau, Kaolin, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Dimethicone, Squalane, Stearic Acid, Tetrahexyldecyl Ascorbate, Phenoxyethanol, Microcrystalline
Cellulose, Ceteth-10 Phosphate, Dicetyl Phosphate, Citrus Grandis (Grapefruit) Peel Oil, Limonene, Cetyl Alcohol, Glyceryl Stearate, Panthenol, Peg-100 Stearate, Allantoin,
Ethylhexylglycerin, Cellulose Gum, Malus Domestica Fruit Cell Culture Extract, Natto Gum, Tocopheryl Acetate, Glyceryl Polymethacrylate, Butylene Glycol, Sucrose Palmitate, Isomalt,
Centella Asiatica Extract, Pullulan, Glyceryl Linoleate, Leontopodium Alpinum Meristem Cell Culture, Propylene Glycol, Echinacea Purpurea Extract, Xanthan Gum, Biosaccharide Gum-
1, Glycine Soja (Soybean) Sterols, Hydrolyzed Rice Protein, Linoleic Acid, Phospholipids, Nannochloropsis Oculata Extract, Vitis Vinifera Seed (Grape) Extract, Macrocystis Pyrifera
Extract, Camellia Sinensis (Green Tea) Leaf Extract, Potassium Sorbate, Lecithin, Sodium Benzoate, Phaseolus Radiatus Meristem Cell Culture Extract, Pvp, Sodium Lactate, Citric
Acid, Hydroxypropyl Cyclodextrin, Dipeptide Diaminobutyroyl Benzylamide Diacetate, Glycine Soja (Soybean) Protein, Hydrolyzed Vegetable Protein, Superoxide Dismutase, Caprylyl
Glycol, Argania Spinosa (Argan) Callus Culture Extract, Arabidopsis Thaliana Extract, Plankton Extract, Palmitoyl Tripeptide-38, Sodium Dextran Sulfate, Acetyl Hexapeptide-8, Acetyl
Octapeptide-3, Palmitoyl Tripeptide-1, Biotin."
